src,src_name,dest,dest_name,weight
45,AKT3,307,CREB3L2,0.4782709364895709
45,AKT3,952,MTOR,0.5133703856631958
57,ANGPT1,674,IGF1R,0.6169016710792979
57,ANGPT1,718,INSR,0.3845158255988887
57,ANGPT1,776,KDR,0.6969222014149029
57,ANGPT1,780,KIT,0.8495296742573069
57,ANGPT1,931,MET,0.5261094595737329
57,ANGPT1,988,NGFR,0.5838229869259521
57,ANGPT1,1023,NTRK1,0.9146843371951642
58,ANGPT2,776,KDR,0.5443440348831547
58,ANGPT2,780,KIT,0.9828166000855464
58,ANGPT2,988,NGFR,0.37633870228116095
58,ANGPT2,1023,NTRK1,0.7594587110526237
58,ANGPT2,1024,NTRK2,0.37469072023717065
58,ANGPT2,1067,PDGFRA,0.5131081882553796
58,ANGPT2,1506,TEK,0.3379340115294326
68,AREG,461,ERBB3,0.6477987729478627
68,AREG,462,ERBB4,0.2641307575899797
68,AREG,495,FGFR1,0.5239230236038566
68,AREG,496,FGFR2,0.6084768414380961
68,AREG,508,FLT3,0.5062761428455511
68,AREG,718,INSR,0.3403109517181292
68,AREG,776,KDR,0.7539269744651393
68,AREG,780,KIT,0.6945015948770258
68,AREG,931,MET,0.4140781835963329
78,ATF2,118,BCL2,0.6093911419312159
79,ATF4,1594,VEGFB,0.356400030599616
126,BDNF,497,FGFR3,0.5698625810444355
190,CARD9,1104,PIK3R2,0.4260278566502772
190,CARD9,1105,PIK3R3,0.41832629291651147
251,CDC42,884,MAPK10,0.2472022003261372
279,CHUK,517,FOXO1,0.2137068284675479
279,CHUK,518,FOXO3,0.1626896072450715
279,CHUK,519,FOXO4,0.20386637344878789
279,CHUK,520,FOXO6,0.35359831522994983
279,CHUK,677,IKBKB,0.17492960433010013
279,CHUK,679,IKBKG,0.25612727498325205
279,CHUK,729,IRS1,0.44300656334962696
279,CHUK,982,NFKB1,0.5405596026219428
279,CHUK,1308,RELA,0.30264850036473945
283,CNTF,437,EGFR,0.2788202395817886
283,CNTF,1067,PDGFRA,0.4864312908262946
283,CNTF,1068,PDGFRB,0.600741183416297
283,CNTF,1220,PRLR,0.416357686277479
304,CREB1,78,ATF2,0.4862288275015696
304,CREB1,79,ATF4,0.3769282887689769
304,CREB1,118,BCL2,0.688603686230878
304,CREB1,126,BDNF,0.2975749646167969
304,CREB1,306,CREB3L1,0.497969159988376
304,CREB1,307,CREB3L2,0.3341822702282419
304,CREB1,308,CREB3L3,0.40420967374229794
304,CREB1,309,CREB3L4,0.6772782968900477
304,CREB1,310,CREB5,0.4535919503308833
304,CREB1,311,CREBBP,0.4959636455246558
304,CREB1,457,EP300,0.5126947350814589
304,CREB1,514,FOS,0.21572899494009712
304,CREB1,764,JUN,0.6424420806501681
304,CREB1,1593,VEGFA,0.4527065839075173
304,CREB1,1594,VEGFB,0.566154580079213
304,CREB1,1595,VEGFC,0.3818238360186418
305,CREB3,78,ATF2,0.3933224257857849
305,CREB3,79,ATF4,0.4827137771372994
305,CREB3,118,BCL2,0.495788387224699
305,CREB3,126,BDNF,0.42724790566911297
305,CREB3,304,CREB1,0.5281146981908629
305,CREB3,306,CREB3L1,0.6174508634605445
305,CREB3,307,CREB3L2,0.2996732109536727
305,CREB3,308,CREB3L3,0.5599135625253743
305,CREB3,309,CREB3L4,0.6186138195102102
305,CREB3,310,CREB5,0.4292811906586091
305,CREB3,311,CREBBP,0.5586492170734951
305,CREB3,457,EP300,0.4639096568493794
305,CREB3,514,FOS,0.4957500839295487
305,CREB3,764,JUN,0.7844730454186599
305,CREB3,1593,VEGFA,0.5768810794533541
305,CREB3,1594,VEGFB,0.42705051300242
305,CREB3,1595,VEGFC,0.4963933806245526
306,CREB3L1,118,BCL2,1.3343692269176246
306,CREB3L1,126,BDNF,0.41313336885844665
306,CREB3L1,310,CREB5,0.7125011371535948
306,CREB3L1,514,FOS,0.5917466604810518
306,CREB3L1,764,JUN,0.7078023702837527
306,CREB3L1,1593,VEGFA,0.5851975882767875
306,CREB3L1,1594,VEGFB,0.3851251902912433
306,CREB3L1,1595,VEGFC,0.3580473168520257
307,CREB3L2,118,BCL2,0.6068653788728018
307,CREB3L2,126,BDNF,0.2636758520578345
307,CREB3L2,306,CREB3L1,0.6398827839332322
307,CREB3L2,308,CREB3L3,0.4884589021482194
307,CREB3L2,310,CREB5,0.7424410026617504
307,CREB3L2,514,FOS,0.6495610576511051
307,CREB3L2,764,JUN,0.7810042566037736
307,CREB3L2,1593,VEGFA,0.3546830841010281
307,CREB3L2,1594,VEGFB,0.28707188151311125
