src,src_name,dest,dest_name,weight
307,CREB3L2,45,AKT3,0.4995771354374786
952,MTOR,45,AKT3,0.4504926700571862
674,IGF1R,57,ANGPT1,0.6588663266971708
776,KDR,57,ANGPT1,0.4808432358006636
780,KIT,57,ANGPT1,0.5054307128846024
931,MET,57,ANGPT1,0.4562978191495252
988,NGFR,57,ANGPT1,0.7569523887708782
1023,NTRK1,57,ANGPT1,0.7727704212768003
776,KDR,58,ANGPT2,0.5015770774004825
780,KIT,58,ANGPT2,0.7518516113981604
988,NGFR,58,ANGPT2,0.20302545186132195
1023,NTRK1,58,ANGPT2,0.6915142644662409
1024,NTRK2,58,ANGPT2,0.3628293594655891
1067,PDGFRA,58,ANGPT2,0.5967590592801572
1506,TEK,58,ANGPT2,0.3254910852721271
461,ERBB3,68,AREG,0.6737200337462127
462,ERBB4,68,AREG,0.4017201867575446
495,FGFR1,68,AREG,0.341703840966026
496,FGFR2,68,AREG,0.5773723878975338
508,FLT3,68,AREG,0.4844433654099703
718,INSR,68,AREG,0.36580331612688793
776,KDR,68,AREG,0.6834439948666842
780,KIT,68,AREG,0.6564614610591283
931,MET,68,AREG,0.5482728597397606
1506,TEK,75,ARNT,0.4059838171117008
118,BCL2,78,ATF2,0.5652407818784316
497,FGFR3,126,BDNF,0.6206658481309812
517,FOXO1,279,CHUK,0.2587922296797236
518,FOXO3,279,CHUK,0.21281826056850456
519,FOXO4,279,CHUK,0.26318609555407113
520,FOXO6,279,CHUK,0.5349448007997125
677,IKBKB,279,CHUK,0.17860759023266534
679,IKBKG,279,CHUK,0.2629564275033772
729,IRS1,279,CHUK,0.5709784230372558
982,NFKB1,279,CHUK,0.3144893961648147
1308,RELA,279,CHUK,0.1738459540142988
318,CSF2RA,283,CNTF,0.4060763298223416
437,EGFR,283,CNTF,0.24474781223883235
685,IL12RB1,283,CNTF,0.5316684864461422
706,IL3RA,283,CNTF,0.5017304890789092
1067,PDGFRA,283,CNTF,0.3936992646893486
1068,PDGFRB,283,CNTF,0.42389584897706895
1220,PRLR,283,CNTF,0.5888424448358517
78,ATF2,304,CREB1,0.5565988739137538
79,ATF4,304,CREB1,0.3749410964548588
118,BCL2,304,CREB1,0.8962096218019724
126,BDNF,304,CREB1,0.3643343116797041
306,CREB3L1,304,CREB1,0.8739783228064577
307,CREB3L2,304,CREB1,0.5010648912750184
308,CREB3L3,304,CREB1,0.6379483211087063
309,CREB3L4,304,CREB1,0.9542684994948406
310,CREB5,304,CREB1,0.65808685105294
311,CREBBP,304,CREB1,0.5696634569515785
457,EP300,304,CREB1,0.7891520317022999
514,FOS,304,CREB1,0.2623704669065773
764,JUN,304,CREB1,0.3358197718237837
1148,PPARGC1A,304,CREB1,0.6161945080112976
1593,VEGFA,304,CREB1,0.5842670646185676
1594,VEGFB,304,CREB1,0.7669591135966278
