Drug A,Drug B,Cell Line Name,Score
Fulvestrant,Vorinostat,NCI-H226,2.2222222222222223
Vorinostat,Romidepsin,UACC-62,3.2222222222222223
Sorafenib tosylate,Cladribine,SK-MEL-5,-5.888888888888888
Paclitaxel,Tretinoin,MDA-MB-231/ATCC,25.66666666666667
Quinacrine hydrochloride,Cladribine,HCT-116,-3.2222222222222223
Everolimus,Tamoxifen citrate,MDA-MB-231/ATCC,-6.1111111111111125
Thalidomide,Paclitaxel,HS 578T,8.666666666666666
Mitotane,Nilotinib,SK-OV-3,-8.444444444444445
Fulvestrant,Celecoxib,NCI-H226,-0.7777777777777778
Thalidomide,Cladribine,SK-MEL-5,-3.555555555555556
Thalidomide,Tretinoin,HCT-15,-6.888888888888888
Sorafenib tosylate,Everolimus,RPMI-8226,-16.666666666666668
Fulvestrant,Paclitaxel,UO-31,-0.8888888888888888
Nilotinib,Tretinoin,LOX IMVI,-6.777777777777778
Everolimus,Vorinostat,LOX IMVI,-3.2222222222222223
Everolimus,Paclitaxel,OVCAR-3,-0.8888888888888888
Quinacrine hydrochloride,Mitotane,UO-31,-3.111111111111111
Sirolimus,Mitotane,HS 578T,2.4444444444444446
Paclitaxel,Tretinoin,SF-268,19.88888888888889
Quinacrine hydrochloride,Tamoxifen citrate,ACHN,1.1111111111111112
Mitotane,Imatinib mesylate,T-47D,-10.333333333333334
Vinblastine sulfate (hydrate),Romidepsin,HCT-116,4.333333333333333
Quinacrine hydrochloride,Sirolimus,NCI-H522,-1.1111111111111112
Quinacrine hydrochloride,Mitotane,MCF7,-1.1111111111111112
Paclitaxel,Tretinoin,MDA-MB-468,32.55555555555556
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),EKVX,-4.777777777777779
Quinacrine hydrochloride,Docetaxel,MCF7,-7.4444444444444455
Fulvestrant,Cladribine,SK-MEL-5,0.7777777777777778
Fulvestrant,Everolimus,UACC-257,0.0
Paclitaxel,Imatinib mesylate,HL-60(TB),10.333333333333334
Quinacrine hydrochloride,Tretinoin,CAKI-1,-21.555555555555557
Fulvestrant,Nilotinib,HCT-15,3.333333333333333
Docetaxel,Celecoxib,SK-MEL-5,4.4444444444444455
Mitotane,Celecoxib,MALME-3M,-3.4444444444444446
Quinacrine hydrochloride,Tamoxifen citrate,CAKI-1,-4.0
Everolimus,Imatinib mesylate,A498,-8.555555555555555
Sorafenib tosylate,Paclitaxel,HOP-62,14.666666666666664
Mitotane,Sirolimus,IGROV1,-3.888888888888889
Fulvestrant,Everolimus,OVCAR-8,8.777777777777779
Vinblastine sulfate (hydrate),Romidepsin,MDA-MB-231/ATCC,-3.111111111111111
Everolimus,Nilotinib,PC-3,-3.2222222222222223
Mitotane,Dasatinib,PC-3,-4.777777777777779
Fulvestrant,Sirolimus,HT29,-0.1111111111111111
Mitotane,Imatinib mesylate,UACC-257,-6.888888888888888
Romidepsin,Docetaxel,NCI-H322M,-5.5555555555555545
Fulvestrant,Paclitaxel,HS 578T,-0.1111111111111111
Fulvestrant,Nilotinib,HOP-92,-6.666666666666668
Quinacrine hydrochloride,Tretinoin,UACC-62,-1.8888888888888888
Vinblastine sulfate (hydrate),Sirolimus,SK-MEL-28,-4.333333333333333
Vinblastine sulfate (hydrate),Dasatinib,U251,-6.5555555555555545
Sirolimus,Cladribine,MDA-MB-231/ATCC,1.8888888888888888
Dasatinib,Nilotinib,HT29,-8.555555555555555
Everolimus,Nilotinib,NCI-H226,-6.4444444444444455
Docetaxel,Tamoxifen citrate,IGROV1,18.33333333333333
Gefitinib,Lenalidomide,A549/ATCC,-0.7777777777777778
Mitotane,Paclitaxel,MDA-MB-231/ATCC,-4.111111111111111
Nilotinib,Mitotane,OVCAR-3,-8.666666666666666
Docetaxel,Tretinoin,A498,6.777777777777778
Romidepsin,Paclitaxel,A498,-8.888888888888891
Everolimus,Sirolimus,SF-539,-7.555555555555554
Docetaxel,Celecoxib,HCT-116,11.666666666666664
Gefitinib,Lenalidomide,OVCAR-3,-5.777777777777778
