Drug A,Drug B,Cell Line Name,Score
Romidepsin,Tretinoin,MDA-MB-231/ATCC,-1.7777777777777777
Docetaxel,Tamoxifen citrate,UO-31,5.4444444444444455
Fulvestrant,Sirolimus,MCF7,-4.777777777777779
Everolimus,Tretinoin,IGROV1,-7.222222222222222
Vorinostat,Docetaxel,K-562,-0.7777777777777778
Vorinostat,Romidepsin,SK-MEL-28,1.2222222222222223
Tretinoin,Celecoxib,NCI-H322M,-1.2222222222222223
Everolimus,Paclitaxel,UO-31,-1.6666666666666667
Quinacrine hydrochloride,Sirolimus,SK-OV-3,-0.4444444444444444
Sorafenib tosylate,Everolimus,NCI-H522,-14.0
Romidepsin,Tretinoin,UACC-257,3.555555555555556
Dasatinib,Tamoxifen citrate,MDA-MB-231/ATCC,-1.3333333333333333
Romidepsin,Paclitaxel,HL-60(TB),-8.222222222222221
Everolimus,Paclitaxel,KM12,-9.0
Sorafenib tosylate,Everolimus,UACC-257,-0.7777777777777778
Docetaxel,Nilotinib,UACC-257,2.1111111111111107
Tretinoin,Celecoxib,HOP-62,1.7777777777777777
Sorafenib tosylate,Everolimus,SF-268,-7.555555555555554
Docetaxel,Fulvestrant,NCI-H322M,-24.0
Docetaxel,Cladribine,SF-539,-6.222222222222222
Thalidomide,Tamoxifen citrate,SK-OV-3,0.8888888888888888
Mitotane,Cladribine,HT29,-0.3333333333333333
Fulvestrant,Cladribine,MDA-MB-435,-3.6666666666666665
Vinblastine sulfate (hydrate),Celecoxib,HL-60(TB),-6.222222222222222
Fulvestrant,Nilotinib,MCF7,-6.222222222222222
Paclitaxel,Tretinoin,LOX IMVI,12.333333333333336
Thalidomide,Sirolimus,SK-MEL-28,-1.2222222222222223
Docetaxel,Paclitaxel,SW-620,-1.3333333333333333
Mitotane,Docetaxel,NCI-H322M,10.0
Fulvestrant,Celecoxib,SW-620,-5.5555555555555545
Romidepsin,Imatinib mesylate,K-562,9.333333333333334
Sirolimus,Tretinoin,BT-549,-13.777777777777779
Fulvestrant,Everolimus,KM12,10.111111111111107
Sorafenib tosylate,Romidepsin,NCI-H522,-7.666666666666668
Vorinostat,Cladribine,HL-60(TB),6.666666666666668
Thalidomide,Sirolimus,KM12,-2.1111111111111107
Vinblastine sulfate (hydrate),Tamoxifen citrate,DU-145,11.222222222222221
Dasatinib,Tretinoin,DU-145,-4.666666666666667
Tretinoin,Cladribine,SF-268,-24.0
Fulvestrant,Romidepsin,HL-60(TB),12.111111111111107
Nilotinib,Celecoxib,EKVX,-10.0
Fulvestrant,Dasatinib,OVCAR-8,1.3333333333333333
Dasatinib,Vorinostat,RPMI-8226,-0.6666666666666666
Vorinostat,Paclitaxel,SW-620,-3.7777777777777777
Dasatinib,Sirolimus,BT-549,1.0
Fulvestrant,Dasatinib,SF-295,4.4444444444444455
Sorafenib tosylate,Imatinib mesylate,NCI-H23,-3.7777777777777777
Vinblastine sulfate (hydrate),Sirolimus,HL-60(TB),2.888888888888889
Everolimus,Vorinostat,MDA-MB-231/ATCC,-0.7777777777777778
Mitotane,Nilotinib,IGROV1,0.0
Mitotane,Tretinoin,SF-539,-1.1111111111111112
Fulvestrant,Paclitaxel,OVCAR-3,-3.7777777777777777
Imatinib mesylate,Cladribine,HT29,0.6666666666666666
Fulvestrant,Celecoxib,HT29,-3.4444444444444446
Quinacrine hydrochloride,Sirolimus,MDA-MB-231/ATCC,0.6666666666666666
Vorinostat,Imatinib mesylate,IGROV1,-7.888888888888887
Vorinostat,Celecoxib,MDA-MB-468,-4.111111111111111
Everolimus,Nilotinib,UO-31,-2.6666666666666665
Vinblastine sulfate (hydrate),Nilotinib,A498,-3.7777777777777777
Mitotane,Tretinoin,SF-295,0.5555555555555556
Thalidomide,Paclitaxel,NCI-H522,2.7777777777777777
Mitotane,Celecoxib,SF-539,-5.222222222222221
Vinblastine sulfate (hydrate),Cladribine,SK-MEL-28,0.6666666666666666
Paclitaxel,Nilotinib,NCI-H322M,-43.444444444444436
Mitotane,Celecoxib,SF-268,-1.4444444444444444
Mitotane,Nilotinib,SF-539,-10.888888888888893
Vorinostat,Nilotinib,UACC-257,-6.777777777777778
Vinblastine sulfate (hydrate),Everolimus,A498,-3.7777777777777777
Quinacrine hydrochloride,Paclitaxel,OVCAR-3,-10.666666666666666
Vorinostat,Docetaxel,BT-549,-3.0
Mitotane,Cladribine,MDA-MB-468,-4.777777777777779
Docetaxel,Nilotinib,SK-MEL-28,-9.444444444444443
Fulvestrant,Paclitaxel,HCT-116,-4.0
Vinblastine sulfate (hydrate),Imatinib mesylate,OVCAR-3,19.33333333333333
Docetaxel,Celecoxib,MDA-MB-231/ATCC,13.333333333333336
Nilotinib,Tretinoin,OVCAR-3,-13.888888888888893
Vinblastine sulfate (hydrate),Cladribine,OVCAR-8,3.4444444444444446
Quinacrine hydrochloride,Paclitaxel,PC-3,-1.3333333333333333
Nilotinib,Imatinib mesylate,NCI-H23,-6.0
Dasatinib,Vorinostat,IGROV1,1.2222222222222223
Docetaxel,Fulvestrant,HT29,22.11111111111111
Sorafenib tosylate,Romidepsin,CAKI-1,-3.2222222222222223
Everolimus,Vorinostat,UACC-257,-6.0
Dasatinib,Tretinoin,HS 578T,3.888888888888889
Mitotane,Sirolimus,U251,-7.666666666666668
Imatinib mesylate,Tamoxifen citrate,MDA-MB-435,4.5555555555555545
Quinacrine hydrochloride,Tamoxifen citrate,HCT-116,4.4444444444444455
Sorafenib tosylate,Tretinoin,RPMI-8226,-2.4444444444444446
Vorinostat,Romidepsin,OVCAR-8,3.6666666666666665
Quinacrine hydrochloride,Mitotane,EKVX,-5.666666666666668
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),SF-539,-3.0
Everolimus,Docetaxel,MDA-MB-231/ATCC,5.0
Everolimus,Romidepsin,UO-31,0.3333333333333333
Thalidomide,Tretinoin,MDA-MB-231/ATCC,-6.4444444444444455
Imatinib mesylate,Celecoxib,HOP-92,-3.6666666666666665
Dasatinib,Docetaxel,NCI-H522,-0.2222222222222222
Sirolimus,Nilotinib,A549/ATCC,-10.777777777777779
Tamoxifen citrate,Cladribine,DU-145,4.2222222222222205
Romidepsin,Nilotinib,SK-MEL-5,-16.666666666666668
Dasatinib,Nilotinib,HCT-15,-18.22222222222221
Gefitinib,Lenalidomide,A498,-5.888888888888888
Romidepsin,Imatinib mesylate,BT-549,-2.1111111111111107
Nilotinib,Celecoxib,HOP-92,-2.7777777777777777
Mitotane,Sirolimus,K-562,4.888888888888889
Romidepsin,Vinblastine sulfate (hydrate),OVCAR-4,-0.8888888888888888
Imatinib mesylate,Tamoxifen citrate,OVCAR-3,-6.888888888888888
Vorinostat,Tamoxifen citrate,T-47D,-6.4444444444444455
Vorinostat,Romidepsin,MDA-MB-468,5.333333333333333
Mitotane,Docetaxel,U251,6.1111111111111125
Mitotane,Paclitaxel,A498,-5.666666666666668
Dasatinib,Celecoxib,K-562,46.33333333333334
Fulvestrant,Sirolimus,U251,-11.333333333333336
Fulvestrant,Celecoxib,MALME-3M,-2.888888888888889
Docetaxel,Sirolimus,MDA-MB-468,-0.2222222222222222
Fulvestrant,Cladribine,RPMI-8226,-6.1111111111111125
Dasatinib,Romidepsin,NCI-H522,-5.222222222222221
Vorinostat,Nilotinib,NCI-H226,-8.666666666666666
Vorinostat,Imatinib mesylate,PC-3,-18.11111111111111
Sirolimus,Mitotane,A498,0.8888888888888888
Dasatinib,Tamoxifen citrate,RPMI-8226,-1.7777777777777777
Dasatinib,Paclitaxel,HL-60(TB),-2.2222222222222223
Thalidomide,Sirolimus,SF-539,3.4444444444444446
