src_type	src	dest_type	dest	direction	type
KEGGCOMP	C00076	SYMBOL	RASGRP1	directed	Process
KEGGCOMP	C00076	SYMBOL	RASGRP2	directed	Process
KEGGCOMP	C00076	SYMBOL	RASGRP4	directed	Process
KEGGCOMP	C00076	SYMBOL	RASGRP3	directed	Process
KEGGCOMP	C00076	SYMBOL	RASGRF1	directed	Process
KEGGCOMP	C00076	SYMBOL	RASGRF2	directed	Process
KEGGCOMP	C00165	SYMBOL	PRKACA	directed	Process(activation)
KEGGCOMP	C00165	SYMBOL	PRKACB	directed	Process(activation)
KEGGCOMP	C00165	SYMBOL	PRKACG	directed	Process(activation)
KEGGCOMP	C00165	SYMBOL	PRKCA	directed	Process(activation)
KEGGCOMP	C00165	SYMBOL	PRKCB	directed	Process(activation)
KEGGCOMP	C00165	SYMBOL	PRKCG	directed	Process(activation)
KEGGCOMP	C00338	SYMBOL	CD14	directed	Process(activation)
KEGGCOMP	C00575	SYMBOL	PRKACA	directed	Process(activation)
KEGGCOMP	C00575	SYMBOL	PRKACB	directed	Process(activation)
KEGGCOMP	C00575	SYMBOL	PRKACG	directed	Process(activation)
KEGGCOMP	C00575	SYMBOL	RAPGEF2	directed	Process(activation)
SYMBOL	CACNG3	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG2	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG5	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG4	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA2D3	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG8	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG7	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG6	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1A	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1B	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1C	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1D	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1E	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1F	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1S	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA2D1	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNB1	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNB2	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNB3	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNB4	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNG1	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1I	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1H	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA1G	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA2D2	KEGGCOMP	C00076	directed	Process
SYMBOL	CACNA2D4	KEGGCOMP	C00076	directed	Process
SYMBOL	AKT3	SYMBOL	MAP3K5	directed	Process(inhibition)
SYMBOL	AKT3	SYMBOL	MAP3K5	directed	Process(phosphorylation)
SYMBOL	AKT3	SYMBOL	MAP2K4	directed	Process(inhibition)
SYMBOL	AKT3	SYMBOL	MAP2K4	directed	Process(phosphorylation)
SYMBOL	PPP5D1	SYMBOL	MAP3K5	directed	Process(inhibition)
SYMBOL	PPP5D1	SYMBOL	MAP3K5	directed	Process(dephosphorylation)
SYMBOL	RASGRP1	SYMBOL	RRAS2	directed	Process(activation)
SYMBOL	RASGRP1	SYMBOL	MRAS	directed	Process(activation)
SYMBOL	RASGRP1	SYMBOL	HRAS	directed	Process(activation)
SYMBOL	RASGRP1	SYMBOL	KRAS	directed	Process(activation)
SYMBOL	RASGRP1	SYMBOL	NRAS	directed	Process(activation)
SYMBOL	RASGRP1	SYMBOL	RRAS	directed	Process(activation)
SYMBOL	RASGRP2	SYMBOL	RRAS2	directed	Process(activation)
SYMBOL	RASGRP2	SYMBOL	MRAS	directed	Process(activation)
SYMBOL	RASGRP2	SYMBOL	HRAS	directed	Process(activation)
SYMBOL	RASGRP2	SYMBOL	KRAS	directed	Process(activation)
SYMBOL	RASGRP2	SYMBOL	NRAS	directed	Process(activation)
SYMBOL	RASGRP2	SYMBOL	RRAS	directed	Process(activation)
SYMBOL	TAB1	SYMBOL	MAP3K7	directed	Process(activation)
SYMBOL	GADD45G	SYMBOL	MAP3K4	directed	Process(activation)
SYMBOL	MAP4K1	SYMBOL	MAP3K11	directed	Process(phosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK14	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK14	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK1	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK1	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK3	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK3	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK8	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK8	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK11	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK11	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK9	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK9	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK10	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK10	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK13	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK13	directed	Process(dephosphorylation)
SYMBOL	DUSP10	SYMBOL	MAPK12	directed	Process(inhibition)
SYMBOL	DUSP10	SYMBOL	MAPK12	directed	Process(dephosphorylation)
SYMBOL	CHUK	SYMBOL	NFKB1	directed	Process(indirect effect)
SYMBOL	CHUK	SYMBOL	NFKB2	directed	Process(indirect effect)
SYMBOL	CHUK	SYMBOL	RELA	directed	Process(indirect effect)
SYMBOL	CHUK	SYMBOL	RELB	directed	Process(indirect effect)
SYMBOL	RASGRP4	SYMBOL	RRAS2	directed	Process(activation)
SYMBOL	RASGRP4	SYMBOL	MRAS	directed	Process(activation)
SYMBOL	RASGRP4	SYMBOL	HRAS	directed	Process(activation)
SYMBOL	RASGRP4	SYMBOL	KRAS	directed	Process(activation)
SYMBOL	RASGRP4	SYMBOL	NRAS	directed	Process(activation)
SYMBOL	RASGRP4	SYMBOL	RRAS	directed	Process(activation)
SYMBOL	MAP3K8	SYMBOL	CHUK	directed	Process(phosphorylation)
SYMBOL	MAP3K8	SYMBOL	IKBKB	directed	Process(phosphorylation)
