geneID	geneSymbol	A498_KIDNEY	A549_LUNG	ACHN_KIDNEY	BT549_BREAST	CAKI1_KIDNEY	DU145_PROSTATE	EKVX_LUNG	HCT116_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HOP62_LUNG	HOP92_LUNG	HS578T_BREAST	HT29_LARGE_INTESTINE	IGROV1_OVARY	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM12_LARGE_INTESTINE	LOXIMVI_SKIN	MALME3M_SKIN	MCF7_BREAST	MDAMB231_BREAST	MDAMB435S_SKIN	MDAMB468_BREAST	NCIH226_LUNG	NCIH23_LUNG	NCIH322_LUNG	NCIH460_LUNG	NCIH522_LUNG	NIHOVCAR3_OVARY	OVCAR4_OVARY	OVCAR8_OVARY	PC3_PROSTATE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF268_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	SKMEL28_SKIN	SKMEL5_SKIN	SKOV3_OVARY	SW620_LARGE_INTESTINE	T47D_BREAST	U251MG_CENTRAL_NERVOUS_SYSTEM	UACC257_SKIN	UACC62_SKIN	UO31_KIDNEY
ENSG00000000938.8	FGR	0.01	0	0.01	0.01	0	0.02	0	0	0	18.04	0	0.07	0.15	0.01	0.04	0.06	0.02	0.01	1.39	0.02	0.08	0.06	0.18	0.01	0.01	0.05	0.02	0.05	0.03	0.01	0.02	0	0.03	0.02	0.02	0.18	0.07	0.02	0.03	0.02	0.02	0.53	0.03	0	0.06
ENSG00000001626.10	CFTR	0	0.01	0.01	0.06	0.15	0.1	0.2	0	0.2	0.05	0.14	0.4	0.01	38.24	1.25	0	0.19	0.01	0.41	0.01	0.02	0	0.07	0	0.8	0	0.01	0.03	0.33	0.49	0.04	0.01	0.13	0.07	4.46	0	0.02	0.33	0.16	0.04	0	0.02	0.23	0.41	0.12
ENSG00000001631.10	KRIT1	24.2	27.87	52.11	22.1	11.87	30.16	35.79	25.39	26.85	14.75	25.49	31.64	19.67	23.94	25.97	30.26	30.19	26.9	54.43	25.8	23.87	29.74	18.04	31.43	31.69	53.47	22.52	34.64	27.06	34.18	16.87	17.62	30.38	13.57	32.36	12.02	24.75	43.04	15.98	35.35	23.88	32.94	35.88	32.01	30.59
ENSG00000002330.9	BAD	38.55	52.47	34.32	79.41	83.42	91.58	77.83	37.31	42.03	21.2	51.47	85.67	62.54	51.53	34.43	37.21	30.77	82.08	23.93	60.22	118.56	63.07	77.57	127.09	28.38	84.21	56.69	68.55	68.14	72.15	135.66	106.43	50.88	100.75	93.57	50.14	15.16	19.09	57.03	37.41	82.02	108.89	54.09	43.48	59.56
ENSG00000002745.8	WNT16	0.01	0.03	0.05	0.01	0.03	0.16	0.06	54	0.87	0.09	0.06	0.43	0.04	0.08	0.05	0.2	0.04	0.02	0.07	0.03	0.06	0.13	0.03	0.01	0.19	0.26	0	0.11	0.02	0.06	0.01	0.03	0.18	0.1	0.12	0.07	0.03	0.02	0.08	0.05	0.02	0.14	0.11	0.21	0.05
ENSG00000002822.11	MAD1L1	15.13	11.45	22.45	24.89	10.39	13.68	17.52	14.33	16.95	59.19	20.66	160.33	74.68	13.73	20.73	33.94	6.91	27.71	131.27	18.78	39.71	111.54	26.28	26.47	22.41	45.69	15.19	20.5	14.09	6.81	36.95	12.21	14.9	27.57	20.93	103.89	157.23	85.85	15.91	15.34	15.79	15.76	153.53	152.25	19.02
ENSG00000003400.10	CASP10	3.99	2.73	6.48	0.01	7.38	3.02	0.6	0.84	6.33	3	2.26	2.16	0.99	2.42	0.19	13.35	1.42	0.03	2.68	0.2	1.52	1.61	15.43	0.6	0.09	0.06	3.15	0.23	3.09	2.82	1.24	0.38	13.64	0.47	1.64	0.36	1.39	1.69	4.12	0.09	0.04	0.12	1.81	2.87	5.19
ENSG00000003402.15	CFLAR	67.04	79.54	135.54	28.2	91.07	109.19	40.06	23.45	50.12	24.26	68.09	44.6	67.46	23.82	22.52	36.53	26.76	95.11	23.99	23.24	43.68	54.65	31.82	82.77	22.43	19.84	25.72	34.06	14.23	21.63	47.9	12.03	36.21	31.69	8.24	26.98	17.62	20.37	38.06	15.59	13.05	22.85	19.26	13.21	77.11
ENSG00000004468.8	CD38	0.02	4.76	0.07	0.9	0.06	0.84	1.93	0	0	0.55	5.71	0.09	0.1	0.06	0.05	0.24	0	0	0.06	0.15	0.12	0.29	0.33	0.09	0.14	0.23	0.03	0.03	0.55	0.41	0.07	0.04	29.65	0.36	0.03	0.04	0.02	0.09	0.02	0	0.01	0.04	0.06	0.98	0.68
ENSG00000004897.7	CDC27	35.83	73.67	42.91	38.19	23.91	62.05	36.63	94.27	62.67	12.9	61.33	29.49	37.27	17.19	40.4	35.72	26.46	52.82	46.72	31.63	76.7	29.41	28.73	45.69	58.72	49.77	32.56	73	36.18	26.44	63.43	53.15	24.02	41.25	85.29	49.44	45.45	43.1	65.06	28.62	40.67	45.99	59.82	45.47	36.1
ENSG00000004975.7	DVL2	29.17	17.93	38.55	40.17	10.95	31.9	36.26	35.19	32.51	2.86	21.04	26.91	30.8	15.52	33.1	34.55	23.26	30.36	57.48	24.81	33.82	31.17	16.13	19.6	19.68	18.85	33.25	26.12	19.44	15.49	30.82	11.32	13.19	76.67	21.84	35.04	40.02	47.59	18.63	43.41	22.66	30.22	83.25	36.86	28.77
ENSG00000005022.5	SLC25A5	358.4	629.39	337.33	1313.6	599.76	424.39	274.27	686.12	663.32	291.3	645.97	407.58	187.14	688.74	445.28	714.56	928.91	602	717.81	704.07	558.62	781.38	1133.8	502.96	643.04	360.61	1036.5	560.26	527.15	711.79	409.81	550.64	404.52	813.11	565.4	610.07	563.87	606.57	458.79	867.1	300.07	553.25	1000.3	722.63	311.7
ENSG00000005100.8	DHX33	10.81	19.29	20.16	28.15	4.63	19.48	13.8	32.15	30.47	6.32	13.32	8.12	11.79	12.61	16.3	6.93	12.44	18.82	50	14.71	17.97	18.38	11.72	19.69	30.18	13.3	23.82	13.55	9.58	6.77	16.02	7.1	12.28	20.17	17.98	7.65	33.37	24.19	6.62	38.51	8.47	18.79	40.81	17.62	15.81
ENSG00000005249.8	PRKAR2B	2.56	2.24	5.56	3.78	1.31	8.26	0.64	9.51	1.53	0.07	2.16	0.5	1.15	0.01	6.78	90.4	1.1	3.74	24.17	4.84	1.3	7.64	22.67	0.46	1.54	1.04	1.73	14.36	5.21	0.94	2.13	0.23	0.06	10.46	6.18	1.22	6.1	12.36	9.41	0.04	1.94	4.4	3.37	8.21	4.36
ENSG00000005339.8	CREBBP	12.86	7.56	20.19	15.82	4.26	9.27	8.45	18.81	18.23	3.37	9.81	7.46	13.32	15.83	20.33	9.58	19.79	13.92	26.47	15.33	13.42	8.25	14.49	15.88	13.61	15.74	6.92	29.98	11.77	7.02	10.26	4.93	12.93	15.99	16.53	15.57	14.55	10.52	38.38	13.87	17.02	11.48	10.33	9.5	17.78
ENSG00000005844.13	ITGAL	0.36	0.19	0.15	0.01	0.04	0.03	0.04	0.07	0	23.7	0.19	0.06	0.07	0.53	0.08	0.06	0.1	0.05	0.06	0.27	0.08	0.21	1.03	0.22	0.12	0.24	0.06	0.07	0.2	0.08	0.12	0.15	7.08	0.07	0.12	0.14	0.28	0.17	0.26	0.06	5.59	0.21	0.21	0.13	0.02
ENSG00000005884.13	ITGA3	276.38	137.91	667.53	98.77	179.35	281.64	140.73	116.35	71.73	2.41	553.04	616.28	183.6	54.96	65.38	0.34	8.34	295.12	168.41	44.2	475.75	58.11	92.32	475.7	32.24	320.82	6.54	8.6	126.42	114.71	271.05	334.03	8.49	164.84	589.67	305.14	21.36	20.42	521.5	4.04	19.96	393.14	24.55	35.72	678.29
ENSG00000005961.13	ITGA2B	0.62	1.11	0.34	0.54	0.14	3.02	2.22	1.47	0.09	3.24	1.04	0.64	0.94	0.01	1.31	6.72	0.06	0.16	0.72	1.21	0.06	0.74	1.63	0.18	5.66	0.15	0.81	4.22	2.07	0.27	4.71	3.61	0.1	0.97	0.4	0.07	0.2	0.42	2.36	0.18	10.73	0.83	0.33	0.34	0.2
ENSG00000006059.3	KRT33A	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.05	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0.91	0	0	0	0.03
ENSG00000006062.9	MAP3K14	26.56	42.45	18.12	19.19	13.2	27.11	10.04	8.23	8.58	1.75	10.95	17.8	3.21	4.07	22.78	2.71	2.79	9.09	4.24	2.35	21.45	7.11	5.55	25.23	55.12	18.16	8.37	37.03	9.36	8.69	15.22	8.77	10.53	28.74	29.82	11.36	3.08	3.77	20.71	4.19	2.97	28.42	6.06	3.89	9.43
ENSG00000006074.4	CCL18	0	0	0.05	0	0	0.1	0	0	0	0	0	0.03	0	0	0	0.09	0	0	0.35	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.5	0.68	0	0	0	0	5.59	0	0
ENSG00000006075.11	CCL3	0.03	0	0.04	0.05	0.06	0	0	0	0	0.91	0.2	0.06	0	0	0.04	0.12	0.09	0.58	0.78	0	0.3	0.15	0.28	0.04	0.18	0.06	0	0.23	0.1	0.03	0.13	0	0.14	0	0.02	0.04	0.37	0.38	0.05	0.03	0	0	0.56	1.31	0.78
ENSG00000006116.3	CACNG3	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006210.6	CX3CL1	0.32	0.04	7.23	0.05	11.67	0.23	0.01	0.03	0.35	0.06	0.23	7.85	0.3	0.34	0.51	0	0.04	0	15.51	0.01	2.15	0.12	31.17	0.04	0.04	0.06	0.01	4.46	18.07	14.22	0.03	0.02	0.01	0.04	6.98	0.01	6.43	5.59	0.06	3.03	0.06	23.64	6.37	9.79	2.39
ENSG00000006283.13	CACNA1G	1.25	4.87	0	0.15	0	0.09	3.84	0.81	0.02	0	0.08	0.03	1	0.05	0.35	0	0	0.09	0.02	0.04	0.05	0.17	0.07	0.02	1.12	0.02	0.08	1.01	0.21	0.09	0.41	0	0	0.14	0.87	0.06	0.04	0.02	0.03	0.02	0.07	0.03	0.02	0.08	0.02
ENSG00000006451.3	RALA	33.3	21.95	48.22	30.56	23.2	24.94	53.28	36.12	33.82	8.29	22.83	47.57	35.08	31.2	22.15	54.04	23.24	24.5	18.83	18.21	32.57	28.4	44.07	25.87	19.96	16.44	17.3	34.24	29.06	32.85	42.19	27.85	14.93	25.01	44.56	33.2	14.89	27.03	22.77	32.86	30.9	38.93	20.54	35.69	59.25
