Drug Name,Mapped Drug Name
2-Fluoro Ara-A,
7-Ethyl-10-hydroxycamptothecin,7-ethyl-10-hydroxycamptothecin
745Busulfan,
Allopurinol,Allopurinol
Altretamine,
Amifostine,Amifostine
Aminolevulinic acid hydrochloride,Aminolevulinic acid
Anastrozole,Anastrozole
Azacitidine,Azacitidine
Bendamustine hydrochloride,
Bleomycin sulfate,Bleomycin
Bortezomib,Bortezomib
Busulfan,
Busulfan690,
Capecitabine,Capecitabine
Carboplatin,
Carmustine,Carmustine
Celecoxib,Celecoxib
Chlorambucil,
Cladribine,Cladribine
Clofarabine,Clofarabine
Cyclophosphamide,Cyclophosphamide
Cytarabine hydrochloride,Cytarabine
Dacarbazine,Dacarbazine
Dactinomycin,Dactinomycin
Dasatinib,Dasatinib
Daunorubicin hydrochloride,Daunorubicin
Decitabine,Decitabine
Dexrazoxane,Dexrazoxane
Docetaxel,Docetaxel
Doxorubicin hydrochloride,Doxorubicin
Etoposide,Etoposide
Everolimus,Everolimus
Exemestane,Exemestane
Floxuridine,Floxuridine
Fluorouracil,Fluorouracil
Fulvestrant,Fulvestrant
Gefitinib,Gefitinib
Gemcitabine hydrochloride,Gemcitabine
Hydroxyurea,Hydroxyurea
Ifosfamide,Ifosfamide
Imatinib mesylate,Imatinib
Imiquimod,Imiquimod
Lenalidomide,Lenalidomide
Letrozole,Letrozole
Lomustine,Lomustine
Mechlorethamine hydrochloride,
Megestrol acetate,Megestrol acetate
Melphalan,
Mercaptopurine,Mercaptopurine
Methotrexate,Methotrexate
Methoxsalen,
Mitomycin,
Mitotane,Mitotane
Mitoxantrone,Mitoxantrone
Nelarabine,Nelarabine
Nilotinib,Nilotinib
Oxaliplatin,
Paclitaxel,Paclitaxel
Pemetrexed disodium,Pemetrexed
Pentostatin,Pentostatin
Pipobroman,
Plicamycin,
Pralatrexate,Pralatrexate
Procarbazine hydrochloride,Procarbazine
Quinacrine hydrochloride,Quinacrine
Raloxifene hydrochloride,RALOXIFENE CORE
Romidepsin,Romidepsin
Sirolimus,Sirolimus
Sorafenib tosylate,Sorafenib
Streptozocin,Streptozocin
Tamoxifen citrate,Tamoxifen
Temozolomide,
Teniposide,Teniposide
Thalidomide,Thalidomide
Thioguanine,
Thiotepa,
Topotecan hydrochloride,Topotecan
Tretinoin,Tretinoin
Triethylenemelamine,
Uracil mustard,Uracil
Valrubicin,Valrubicin
Vinblastine sulfate (hydrate),Vinblastine
Vincristine sulfate,Vincristine
Vinorelbine tartrate,
Vorinostat,Vorinostat
Zoledronic acid,Zoledronic acid
